id,device_id,name,lat,lng,address
20240,003T2053,静安交通枢纽,31.232456,121.453384,常德路赵家桥路，北京路与愚园路当中
20241,003T2060,悦达广场,31.235634,121.435089,万航渡路889号
20242,003T2025,越洋广场,31.230405,121.453525,南京西路1600号
20243,003T3060,赢通绿地,31.198069,121.477763,开平路88号
20244,003T2085,北京常德,31.233521,121.453441,北京常德
20245,003T2027,越洋广场,31.230405,121.453525,南京西路1600号
20246,003T2084,二十三漂,31.240288,121.440612,余姚路500弄
20247,003T2059,悦达广场,31.235634,121.435089,万航渡路889号
20248,003T2087,上海电视台,31.240632,121.481407,南京路
20249,003T2088,长乐路1236弄,31.221157,121.44753,长乐路1236弄
20256,003T2065,四季之门,31.242979,121.45581,宜昌路过陕西路
20277,003T2069,江宁路长寿路口,31.250155,121.450802,江宁路1158号
20286,JAZ00005,南京西路1025弄109号,31.234722,121.464165,南京西路1025弄109号
20287,JAZ00006,宁波路120弄18号,31.245691,121.491131,宁波路120弄18号
20288,JAZ00007,富民路164弄13号,31.224891,121.457113,富民路164弄13号
20289,JAZ00008,成都北路1037弄3号,31.246154,121.469195,成都北路1037弄3号
20290,JAZ00009,普育东路101弄5号,31.215257,121.50288,普育东路101弄5号
20291,JAZ00010,翟溪路1072弄33,31.212558,121.50252,翟溪路1072弄33
20292,003T2140,常春藤房产,31.237173,121.467296,奉贤路泰兴石门路中间
20293,003T2143,陕西大厦,31.223814,121.467699,延安路茂名路
20294,003T2136,九佰城市广场,31.229402,121.453901,静安寺愚园路
20295,003T1317,中山路圆明园路,31.249125,121.494796,吴淞路闸桥，外白渡桥下
20296,003T1328,香港广场,31.229107,121.481557,黄陂南路淮海路北马路边
20297,003T1321,山东路,31.240107,121.490393,北京路河南路进去
20298,003T2114,北京西路石门二路,31.226472,121.446267,北京西路石门二路（绿地内）
20299,003T2112,申元大厦,31.24156,121.467154,石门二路258号
20300,003T2058,上海宾馆,31.22465,121.450213,乌鲁木齐北路501号
20301,003T3003,打浦路316弄,31.205766,121.477623,打浦路316弄
20302,003T3028,金玉兰广场,31.211069,121.477269,打浦路1号
20303,003T3024,金玉兰广场,31.211069,121.477269,打浦路1号
20304,003T1238,新地苑,31.228173,121.49704,复兴东路701弄1号
20305,003T1158,上海中银建设置地有限公司,31.21541,121.492908,西藏南路1170号
20306,003T1247,明天广场,31.236866,121.475321,南京西路389号
20307,003T1241,房地大厦,31.241386,121.522543,北京西路161弄内
20308,003T1286,宏伊国际广场,31.240632,121.481407,南京东路299号
20309,003T1287,宏伊国际广场,31.240632,121.481407,南京东路299号
20310,003T1272,中西医结合医院,31.222,121.500973,黄家路163号
20311,003T1269,长征医院办公楼,31.251434,121.458709,汉口路515弄边门
20312,003T2057,静安现代产业大厦,31.245392,121.459933,昌平路86号
20313,003T2094,上海机场城市航站楼,31.230405,121.453525,南京西路1600号
20314,003T2095,上海机场城市航站楼(低压),31.230405,121.453525,南京西路1600号
20315,003T2113,嘉天汇,31.229742,121.442826,乌鲁木齐北路30弄8号
20316,003T1256,卢湾体育局,31.212969,121.47026,建国西路135号
20317,003T3005,蒙自路238弄,31.209477,121.485557,蒙自路238弄
20318,003T3036,大浪淘沙卢湾店,31.201977,121.478676,中山南一路1065号
20319,003T1377,卢湾区政府,31.227492,121.477899,南昌路43号重庆路口
20322,003T2036,静安新世纪,31.236921,121.437736,余姚路816号
20323,003T3056,上海鼎荣房地产开发,31.212275,121.475424,徐家汇路618号
20324,003T3057,上海鼎荣房地产开发,31.212275,121.475424,徐家汇路618号
20325,003T2147,北京大田,31.232193,121.474676,大田路127号，加油站边
20326,003T1351,新昌诚,31.24398,121.472357,新闸路新昌诚，南北高桥的东面
20327,003T2028,安远路营业所大楼,31.241819,121.44102,安远路706号
20328,003T1352,太平洋百货,31.228466,121.480685,淮海中路333号
20329,003T2145,陕西威海,31.231569,121.463547,陕西北路80号
20330,003T2155,昌平常德,31.241592,121.450245,昌平路556弄
20331,003T1379,明天广场,31.226588,121.482017,江阴路黄陂路
20332,003T1326,第九人民医院,31.207296,121.493848,瞿溪路500号
20333,003T2125,嘉园,31.230666,121.442583,万航渡路464号
20334,003T1364,长征医院,31.233298,121.473133,凤阳路415号（靠近成都北路南京西路）
20335,003T2153,协和大厦,31.265706,121.464338,永远浜路镇宁路路口
20336,003T1088,新源广场,31.227123,121.509427,豆市街4号对面，近百渡路
20337,003T1375,保险大楼,31.220351,121.513264,中山路董家渡路
20338,JAZ00011,河南南路三九八弄1号旁西,31.22781,121.502881,河南南路三九八弄1号旁西
20340,003T1262,金外滩广场,31.228787,121.506428,老太平路外咸瓜街路口
20341,003T3014,金丽大厦（炉）,31.2122,121.480533,徐家汇路579号（丽园路口）
20342,003T3015,金丽大厦（灶）,31.2122,121.480533,徐家汇路579号（丽园路口）
20343,003T1266,上海兴侨房地产有限公司,31.226881,121.485468,吉安路18号
20344,003T1267,上海兴侨房地产有限公司,31.226881,121.485468,吉安路18号
20345,003T1385,中山南路1881弄,31.208692,121.49778,中山南路1881弄2号
20346,003T1179,最佳实践区（炉）,31.204562,121.504264,苗江路望达路（世博核心区域）
20347,003T1275,新凌大厦,31.217239,121.493722,西藏南路1107号
20348,003T1369,证大外滩（灶）,31.233477,121.502459,人民路龙潭路
20349,003T1370,证大外滩（炉）,31.233477,121.502459,人民路龙潭路
20350,003T1249,上海永基物业有限公司,31.237572,121.495996,溪口路延安东路口
20351,003T1381,丽园路,31.2159,121.494072,丽园路144号
20352,003T1299,怡丰大厦（灶）,31.230747,121.494379,河南南路298号
20353,003T3027,华美达和平大酒店,31.20732,121.481098,斜土路710号
20354,003T1063,古象大酒店,31.240136,121.486087,九江路595号
20355,003T1064,古象大酒店,31.240136,121.486087,九江路595号
20356,003T2142,上海金鹰国际购物广场,31.23494,121.461145,陕西北路278号
20357,003T2141,上海金鹰国际购物广场,31.23494,121.461145,陕西北路278号
20358,003T2011,上海湟普江房产经营有限公司,31.235123,121.465457,吴江路269号
20359,003T2098,成都路南京路口,31.242777,121.424488,成都路555号
20360,003T1320,香山中医医院,31.221596,121.472924,复兴中路528号
20361,003T2135,金叶大楼,31.223224,121.466518,淮海中路921号
20362,003T2134,金叶大楼,31.223224,121.466518,淮海中路921号
20363,003T2167,上海第一妇婴保健院,31.226367,121.462901,长乐路536号
20364,003T2050,贵都饭店,31.22662,121.451803,华山路228号
20365,003T2001,上海展览馆,31.234532,121.445192,延安中路1000号后门
20366,003T3023,园林大厦,31.21498,121.489363,制造局路130号
20367,003T1243,广东路20号,31.240064,121.497242,广东路20号
20368,003T1265,上海建懋商业投资管理有限公司,31.240064,121.497242,广东路20号
